id,visitors
air_00a91d42b08b08d9_2017-04-23,2.735915255467525
air_00a91d42b08b08d9_2017-04-24,22.432010840073787
air_00a91d42b08b08d9_2017-04-25,26.062257649443616
air_00a91d42b08b08d9_2017-04-26,28.610242674115625
air_00a91d42b08b08d9_2017-04-27,32.07444044143331
air_00a91d42b08b08d9_2017-04-28,37.41156242047453
air_00a91d42b08b08d9_2017-04-29,11.948312492504368
air_00a91d42b08b08d9_2017-04-30,2.646838077287337
air_00a91d42b08b08d9_2017-05-01,22.900003456482324
air_00a91d42b08b08d9_2017-05-02,26.346003480724505
air_00a91d42b08b08d9_2017-05-03,29.276178720649607
air_00a91d42b08b08d9_2017-05-04,31.056898904315847
air_00a91d42b08b08d9_2017-05-05,35.36585853116979
air_00a91d42b08b08d9_2017-05-06,11.632448218732915
air_00a91d42b08b08d9_2017-05-07,2.564527190875266
air_00a91d42b08b08d9_2017-05-08,22.706375091766546
air_00a91d42b08b08d9_2017-05-09,26.285879018037516
air_00a91d42b08b08d9_2017-05-10,29.25038988256721
air_00a91d42b08b08d9_2017-05-11,31.54827094199682
air_00a91d42b08b08d9_2017-05-12,36.142875452499055
air_00a91d42b08b08d9_2017-05-13,11.761686508755446
air_00a91d42b08b08d9_2017-05-14,2.8325652734190276
air_00a91d42b08b08d9_2017-05-15,22.73700456940754
air_00a91d42b08b08d9_2017-05-16,26.145187066643395
air_00a91d42b08b08d9_2017-05-17,28.91393715769889
air_00a91d42b08b08d9_2017-05-18,31.669519576519995
air_00a91d42b08b08d9_2017-05-19,36.83208779663336
air_00a91d42b08b08d9_2017-05-20,11.795492263015717
air_00a91d42b08b08d9_2017-05-21,2.74403666599756
air_00a91d42b08b08d9_2017-05-22,22.124181971919462
air_00a91d42b08b08d9_2017-05-23,26.016398338406095
air_00a91d42b08b08d9_2017-05-24,28.647574841743996
air_00a91d42b08b08d9_2017-05-25,31.338372435769944
air_00a91d42b08b08d9_2017-05-26,36.623844366347214
air_00a91d42b08b08d9_2017-05-27,12.393607428354887
air_00a91d42b08b08d9_2017-05-28,2.6139616626156608
air_00a91d42b08b08d9_2017-05-29,22.76352146431848
air_00a91d42b08b08d9_2017-05-30,26.142078059662676
air_00a91d42b08b08d9_2017-05-31,29.50957909430354
air_0164b9927d20bcc3_2017-04-23,6.225232613481786
air_0164b9927d20bcc3_2017-04-24,5.493781371366748
air_0164b9927d20bcc3_2017-04-25,6.90244685207077
air_0164b9927d20bcc3_2017-04-26,6.871170922272967
air_0164b9927d20bcc3_2017-04-27,7.663999925318542
air_0164b9927d20bcc3_2017-04-28,8.746671438882618
air_0164b9927d20bcc3_2017-04-29,3.5421319614174767
air_0164b9927d20bcc3_2017-04-30,6.218900277721474
air_0164b9927d20bcc3_2017-05-01,5.707019764449012
air_0164b9927d20bcc3_2017-05-02,6.590343756327185
air_0164b9927d20bcc3_2017-05-03,6.167603838140579
air_0164b9927d20bcc3_2017-05-04,5.647212928193996
air_0164b9927d20bcc3_2017-05-05,10.42497391527049
air_0164b9927d20bcc3_2017-05-06,3.625294813533272
air_0164b9927d20bcc3_2017-05-07,5.81890346350424
air_0164b9927d20bcc3_2017-05-08,5.671973352033478
air_0164b9927d20bcc3_2017-05-09,7.021994126223733
air_0164b9927d20bcc3_2017-05-10,7.939196924491654
air_0164b9927d20bcc3_2017-05-11,7.37663266754796
air_0164b9927d20bcc3_2017-05-12,8.592704341430847
air_0164b9927d20bcc3_2017-05-13,9.786670182331402
air_0164b9927d20bcc3_2017-05-14,5.863868049481624
air_0164b9927d20bcc3_2017-05-15,5.579687931388629
air_0164b9927d20bcc3_2017-05-16,6.7242871966296605
air_0164b9927d20bcc3_2017-05-17,7.648181176657056
air_0164b9927d20bcc3_2017-05-18,7.227530582205881
air_0164b9927d20bcc3_2017-05-19,8.62366532664861
air_0164b9927d20bcc3_2017-05-20,3.6380152421664427
air_0164b9927d20bcc3_2017-05-21,5.859999007153206
air_0164b9927d20bcc3_2017-05-22,5.607786074191817
air_0164b9927d20bcc3_2017-05-23,6.901034883239156
air_0164b9927d20bcc3_2017-05-24,7.863082761681294
air_0164b9927d20bcc3_2017-05-25,7.366120925224978
air_0164b9927d20bcc3_2017-05-26,8.713206559163986
air_0164b9927d20bcc3_2017-05-27,3.6984417946526684
air_0164b9927d20bcc3_2017-05-28,5.871101625045105
air_0164b9927d20bcc3_2017-05-29,5.603133971338435
air_0164b9927d20bcc3_2017-05-30,6.874194933423475
air_0164b9927d20bcc3_2017-05-31,7.874049467606944
